,Pair,Steps,GCD
511,"[6, 12]",1,6
512,"[6, 13]",2,1
513,"[6, 14]",2,2
514,"[6, 15]",2,3
515,"[6, 16]",3,2
516,"[6, 17]",3,1
517,"[6, 18]",1,6
518,"[6, 19]",2,1
519,"[6, 20]",2,2
520,"[6, 21]",2,3
521,"[6, 22]",3,2
522,"[6, 23]",3,1
523,"[6, 24]",1,6
524,"[6, 25]",2,1
525,"[6, 26]",2,2
526,"[6, 27]",2,3
527,"[6, 28]",3,2
528,"[6, 29]",3,1
529,"[6, 30]",1,6
530,"[6, 31]",2,1
531,"[6, 32]",2,2
532,"[6, 33]",2,3
533,"[6, 34]",3,2
534,"[6, 35]",3,1
535,"[6, 36]",1,6
536,"[6, 37]",2,1
537,"[6, 38]",2,2
538,"[6, 39]",2,3
539,"[6, 40]",3,2
540,"[6, 41]",3,1
541,"[6, 42]",1,6
542,"[6, 43]",2,1
543,"[6, 44]",2,2
544,"[6, 45]",2,3
545,"[6, 46]",3,2
546,"[6, 47]",3,1
547,"[6, 48]",1,6
548,"[6, 49]",2,1
549,"[6, 50]",2,2
550,"[6, 51]",2,3
551,"[6, 52]",3,2
552,"[6, 53]",3,1
553,"[6, 54]",1,6
554,"[6, 55]",2,1
555,"[6, 56]",2,2
556,"[6, 57]",2,3
557,"[6, 58]",3,2
558,"[6, 59]",3,1
559,"[6, 60]",1,6
560,"[6, 61]",2,1
561,"[6, 62]",2,2
562,"[6, 63]",2,3
563,"[6, 64]",3,2
564,"[6, 65]",3,1
565,"[6, 66]",1,6
566,"[6, 67]",2,1
567,"[6, 68]",2,2
568,"[6, 69]",2,3
569,"[6, 70]",3,2
570,"[6, 71]",3,1
571,"[6, 72]",1,6
572,"[6, 73]",2,1
573,"[6, 74]",2,2
574,"[6, 75]",2,3
575,"[6, 76]",3,2
576,"[6, 77]",3,1
577,"[6, 78]",1,6
578,"[6, 79]",2,1
579,"[6, 80]",2,2
580,"[6, 81]",2,3
581,"[6, 82]",3,2
582,"[6, 83]",3,1
583,"[6, 84]",1,6
584,"[6, 85]",2,1
585,"[6, 86]",2,2
586,"[6, 87]",2,3
587,"[6, 88]",3,2
588,"[6, 89]",3,1
589,"[6, 90]",1,6
590,"[6, 91]",2,1
591,"[6, 92]",2,2
592,"[6, 93]",2,3
593,"[6, 94]",3,2
594,"[6, 95]",3,1
595,"[6, 96]",1,6
596,"[6, 97]",2,1
597,"[6, 98]",2,2
598,"[6, 99]",2,3
599,"[6, 100]",3,2
600,"[7, 1]",1,1
601,"[7, 2]",2,1
